config,round,participating_clients,num_clients
no_attack,1,5,5
no_attack,2,5,5
no_attack,3,5,5
no_attack,4,5,5
no_attack,5,5,5
no_attack,6,5,5
no_attack,7,5,5
no_attack,8,5,5
no_attack,9,5,5
no_attack,10,5,5
attack_c1_full,1,5,5
attack_c1_full,2,5,5
attack_c1_full,3,5,5
attack_c1_full,4,5,5
attack_c1_full,5,5,5
attack_c1_full,6,5,5
attack_c1_full,7,5,5
attack_c1_full,8,5,5
attack_c1_full,9,5,5
attack_c1_full,10,5,5
