config,round,excluded_client_ids,err_flagged_idx,lfr_flagged_idx,union_size,num_clients
attack_flip0.3_err_lfr,1,1,0,0,1,5
attack_flip0.3_err_lfr,2,"1, 3",3,1,2,5
attack_flip0.3_err_lfr,3,1,1,1,1,5
attack_flip0.3_err_lfr,4,1,0,0,1,5
attack_flip0.3_err_lfr,5,1,4,4,1,5
attack_flip0.3_err_lfr,6,1,2,2,1,5
attack_flip0.3_err_lfr,7,1,4,4,1,5
attack_flip0.3_err_lfr,8,1,3,3,1,5
attack_flip0.3_err_lfr,9,1,0,0,1,5
attack_flip0.3_err_lfr,10,1,2,2,1,5
