config,round,client_id,cid,malicious,f1,accuracy,precision,recall
attack_c1_full,1,4,1e180d40449f4f5981b1d7fec8a4249d,False,0.9244,0.8974,0.864,0.9939
attack_c1_full,1,1,d459a53e6335460a98dabe60e2ad9f2f,True,0.0085,0.1028,0.014,0.0061
attack_c1_full,1,3,91ab6c4b909e42e7bde3586fa775747a,False,0.9245,0.8975,0.8639,0.9944
attack_c1_full,2,3,91ab6c4b909e42e7bde3586fa775747a,False,0.9671,0.9597,0.9975,0.9384
attack_c1_full,2,4,1e180d40449f4f5981b1d7fec8a4249d,False,0.9671,0.9596,0.9974,0.9385
attack_c1_full,2,2,14b77c627b1d4fd79b65bd1090d84243,False,0.9671,0.9597,0.9975,0.9385
attack_c1_full,2,5,18ca959d2d7f43a3bd9136e98c8c2a6b,False,0.9671,0.9597,0.9975,0.9385
attack_c1_full,2,1,d459a53e6335460a98dabe60e2ad9f2f,True,0.9652,0.9572,0.9927,0.9392
attack_c1_full,3,3,91ab6c4b909e42e7bde3586fa775747a,False,0.9682,0.961,0.9984,0.9397
attack_c1_full,3,4,1e180d40449f4f5981b1d7fec8a4249d,False,0.9682,0.961,0.9979,0.9402
attack_c1_full,3,2,14b77c627b1d4fd79b65bd1090d84243,False,0.9684,0.9613,0.9985,0.9402
attack_c1_full,3,1,d459a53e6335460a98dabe60e2ad9f2f,True,0.9286,0.9052,0.8856,0.976
attack_c1_full,3,5,18ca959d2d7f43a3bd9136e98c8c2a6b,False,0.9678,0.9606,0.9983,0.9392
attack_c1_full,4,4,1e180d40449f4f5981b1d7fec8a4249d,False,0.9681,0.961,0.9984,0.9396
attack_c1_full,4,5,18ca959d2d7f43a3bd9136e98c8c2a6b,False,0.9678,0.9605,0.9978,0.9394
attack_c1_full,4,3,91ab6c4b909e42e7bde3586fa775747a,False,0.9681,0.961,0.9985,0.9395
attack_c1_full,4,1,d459a53e6335460a98dabe60e2ad9f2f,True,0.9636,0.9547,0.9782,0.9494
attack_c1_full,4,2,14b77c627b1d4fd79b65bd1090d84243,False,0.9682,0.961,0.9985,0.9396
attack_c1_full,5,1,d459a53e6335460a98dabe60e2ad9f2f,True,0.9542,0.942,0.9515,0.9568
attack_c1_full,5,5,18ca959d2d7f43a3bd9136e98c8c2a6b,False,0.9668,0.9591,0.9924,0.9425
