config,round,client_id,cid,malicious,bi_accuracy,bi_logloss,err_impact,lfr_impact
no_attack_err_lfr,10,1,ca3bf3257100454181085d8b281ac407,False,0.9653,0.0792,-9e-05,-0.000463
no_attack_err_lfr,10,5,eff75e1310e747fea89da3194c933021,False,0.9654,0.0799,0.0,-0.001208
no_attack_err_lfr,10,3,454edb15a16649098b40edcc2b0a411b,False,0.9654,0.0785,3.5e-05,0.000235
no_attack_err_lfr,10,2,e16b8e2ff1714a3881fc8dbe78709ea9,False,0.9654,0.0778,6.5e-05,0.000933
no_attack_err_lfr,10,4,aff2f7bed71a43a3bc2a4fc73203c929,False,0.9656,0.0775,0.000275,0.00118
attack_err_lfr,1,5,8d319401b48c4507b2bf7bf6658c72d3,False,0.9594,0.248,-0.00018,-0.081566
attack_err_lfr,1,4,b7b427156a48430193e6ded5ad0899d9,False,0.9591,0.2481,-0.000545,-0.081728
attack_err_lfr,1,3,cfe4b7e1810e4b2baad32a77ea14a4b6,False,0.959,0.2481,-0.00057,-0.081641
attack_err_lfr,1,1,1a68e4e9e81c4e30bb951ac8f50f7c88,True,0.9597,0.1303,8e-05,0.036137
attack_err_lfr,1,2,e8c3ec5e81aa46d697ab9c589d6a30fc,False,0.9591,0.247,-0.000525,-0.080588
attack_err_lfr,2,4,b7b427156a48430193e6ded5ad0899d9,False,0.9616,0.1622,0.001025,-0.02173
attack_err_lfr,2,1,1a68e4e9e81c4e30bb951ac8f50f7c88,True,0.9626,0.0927,0.002035,0.047766
attack_err_lfr,2,3,cfe4b7e1810e4b2baad32a77ea14a4b6,False,0.9614,0.1616,0.000865,-0.021141
attack_err_lfr,2,2,e8c3ec5e81aa46d697ab9c589d6a30fc,False,0.962,0.1614,0.001495,-0.020922
attack_err_lfr,2,5,8d319401b48c4507b2bf7bf6658c72d3,False,0.9605,0.1638,-2.5e-05,-0.023257
attack_err_lfr,3,2,e8c3ec5e81aa46d697ab9c589d6a30fc,False,0.1863,2.5253,-0.020005,-0.290289
attack_err_lfr,3,1,1a68e4e9e81c4e30bb951ac8f50f7c88,True,0.9635,0.0872,0.75724,2.147813
attack_err_lfr,3,4,b7b427156a48430193e6ded5ad0899d9,False,0.1866,2.5321,-0.01969,-0.297117
attack_err_lfr,3,5,8d319401b48c4507b2bf7bf6658c72d3,False,0.1879,2.5338,-0.018365,-0.298795
attack_err_lfr,3,3,cfe4b7e1810e4b2baad32a77ea14a4b6,False,0.1867,2.5298,-0.01961,-0.294789
attack_err_lfr,4,1,1a68e4e9e81c4e30bb951ac8f50f7c88,True,0.9641,0.0841,0.80755,11.090635
attack_err_lfr,4,3,cfe4b7e1810e4b2baad32a77ea14a4b6,False,0.1568,11.1755,0.00019,-0.00081
